ID,year,vine_size_2005,vine,East,North,Row_#,Bay_#,Cane_#,Cropload,elevation,EM38,Trunkcirc,cropcircle,bunch_per_vine,yld_kg_per_vine
2005_Bay_#36-Row_#329-Cane_#4,2005,S,20,407441.106,807432.332,329,36,4,4c,11.11964778,3.228315556,171.7291667,9.74831,7.49,7.680654545
2005_Bay_#45-Row_#329-Cane_#4,2005,L,21,407463.916,807371.679,329,45,4,4c,10.90746556,4.012996667,192.5335222,10.36841444,6.18,6.532368421
2005_Bay_#54-Row_#329-Cane_#4,2005,M,22,407486.726,807311.026,329,54,4,4c,10.55179556,4.161784444,184.3669333,10.42702111,7.0375,7.573690476
2005_Bay_#56-Row_#329-Cane_#4,2005,M,23,407491.794,807297.548,329,56,4,4c,10.87876111,4.114557778,179.8802556,9.931131111,3.5,3.871212121
2005_Bay_#61-Row_#329-Cane_#4,2005,XL,24,407504.466,807263.852,329,61,4,4c,10.73544,6.044474444,215.118,10.50757,5.985,6.36659396
2005_Bay_#10-Row_#358-Cane_#4,2005,S,25,407316.791,807582.531,358,10,4,4c,11.49137889,3.991817778,174.9163,8.470925556,7.335,7.558779661
2005_Bay_#28-Row_#358-Cane_#4,2005,L,26,407362.41,807461.225,358,28,4,4c,10.97284,5.369713333,199.6892889,11.04861778,9.3725,9.481166667
2005_Bay_#33-Row_#358-Cane_#4,2005,XS,27,407375.082,807427.529,358,33,4,4c,11.71442333,5.096473333,164.3109889,8.425643333,6.33,6.559717742
2005_Bay_#41-Row_#358-Cane_#4,2005,M,28,407395.358,807373.616,358,41,4,4c,11.28458,5.42111,192.4449778,10.35909556,4.3575,5.55628821
2005_Bay_#48-Row_#358-Cane_#4,2005,M,29,407413.098,807326.441,358,48,4,4c,11.07260667,5.130647778,186.9564111,10.31544444,6.0325,6.288706564
2005_Bay_#63-Row_#358-Cane_#4,2005,XL,30,407451.114,807225.353,358,63,4,4c,10.98450111,6.685854444,207.5531778,11.00488889,3.725,4.827932961
2005_Bay_#11-Row_#360-Cane_#2,2005,XS,31,407314.197,807574.102,360,11,2,2c,11.48207111,4.027547778,173.8174556,8.80982,3.095,3.204751773
2005_Bay_#12-Row_#360-Cane_#2,2005,S,32,407316.732,807567.363,360,12,2,2c,11.33224778,4.235138889,176.1629778,9.513602222,4.2,4.302439024
2005_Bay_#15-Row_#360-Cane_#2,2005,M,33,407324.335,807547.145,360,15,2,2c,11.35772222,4.948172222,186.9400333,9.929994444,2.1475,2.526470588
2005_Bay_#35-Row_#360-Cane_#2,2005,M,34,407375.023,807412.361,360,35,2,2c,11.26890556,4.535205556,179.7558667,10.20847,3.1925,3.521139706
2005_Bay_#39-Row_#360-Cane_#2,2005,L,35,407387.695,807378.665,360,39,2,2c,11.28744889,5.429003333,199.1815444,10.49582889,2.575,2.75506993
2005_Bay_#58-Row_#360-Cane_#2,2005,XL,36,407433.314,807257.36,360,58,2,2c,11.03298889,6.050672222,213.8365778,11.29625667,3.705,4.09865625
2005_Bay_#3-Row_#362-Cane_#4,2005,L,37,407288.794,807626.326,362,3,4,4c,10.65796222,5.93836,207.1533222,9.988398889,7.585,8.391279528
2005_Bay_#8-Row_#362-Cane_#4,2005,XS,38,407301.466,807592.63,362,8,4,4c,11.24040778,4.937755556,177.3178222,8.809778889,7.3975,7.631598101
2005_Bay_#9-Row_#362-Cane_#4,2005,S,39,407304,807585.891,362,9,4,4c,11.32657667,4.348528889,176.9067556,9.239231111,6.9825,6.9825
2005_Bay_#20-Row_#362-Cane_#4,2005,M,40,407331.879,807511.76,362,20,4,4c,11.38448111,4.960843333,194.1351444,10.42330889,5.755,6.087019231
2005_Bay_#55-Row_#362-Cane_#4,2005,M,41,407420.583,807275.888,362,55,4,4c,10.81970222,5.960001111,194.2701111,11.46268222,6.2625,6.284244792
2005_Bay_#63-Row_#362-Cane_#4,2005,XL,42,407440.858,807221.974,362,63,4,4c,11.13679667,6.991841111,214.0258333,11.2105,7.025,7.365764925
2005_Bay_#10-Row_#364-Cane_#2,2005,S,43,407301.407,807577.462,364,10,2,2c,11.32642222,4.317958889,183.1812,9.413094444,4.495,4.604634146
2005_Bay_#19-Row_#364-Cane_#2,2005,L,44,407324.216,807516.809,364,19,2,2c,11.40376333,4.959066667,202.2355222,10.87034889,3.3225,3.862743902
2005_Bay_#22-Row_#364-Cane_#2,2005,M,45,407331.819,807496.592,364,22,2,2c,11.08857333,5.125656667,201.5891333,10.81099,4.7375,5.218464467
2005_Bay_#27-Row_#364-Cane_#2,2005,XL,46,407344.491,807462.896,364,27,2,2c,10.88781444,6.079512222,213.9409667,11.33921222,4.49,4.610053476
2005_Bay_#33-Row_#364-Cane_#2,2005,XS,47,407359.698,807422.461,364,33,2,2c,11.57014444,5.348454444,165.4256222,9.699515556,3.02,3.078076923
2005_Bay_#53-Row_#364-Cane_#2,2005,M,48,407410.386,807287.677,364,53,2,2c,11.12313111,5.604908889,196.2622778,11.21067667,1.5825,3.52556962
2006_Bay_#2-Row_#323-Cane_#2,2006,M,1,407370.392,807666.346,323,2,2,2c,10.97135,3.911578889,178.6224556,7.93782,2.9625,2.9625
2006_Bay_#15-Row_#323-Cane_#2,2006,M,2,407403.339,807578.737,323,15,2,2c,10.94357444,3.855947778,189.7771,10.37287667,3.2675,3.2675
2006_Bay_#26-Row_#323-Cane_#2,2006,XS,3,407431.217,807504.606,323,26,2,2c,11.19804111,4.059778889,163.2115444,8.840817778,2.755,2.755
2006_Bay_#31-Row_#323-Cane_#2,2006,S,4,407443.889,807470.91,323,31,2,2c,11.01622,4.205651111,164.4851111,9.25243,1.8975,1.8975
2006_Bay_#40-Row_#323-Cane_#2,2006,L,5,407466.699,807410.257,323,40,2,2c,10.51706889,4.564212222,193.8663333,10.67583333,3.55,3.55
2006_Bay_#59-Row_#323-Cane_#2,2006,XL,6,407514.853,807282.212,323,59,2,2c,10.58453778,5.514371111,209.2560222,10.96109778,3.2025,3.2025
2006_Bay_#5-Row_#325-Cane_#4,2006,M,7,407372.796,807644.626,325,5,4,4c,10.83859889,3.724567778,183.6738778,9.411745556,5.0025,5.0025
2006_Bay_#26-Row_#325-Cane_#4,2006,XS,8,407426.019,807503.103,325,26,4,4c,11.11856111,4.05801,163.1403444,8.67221,3.8825,3.8825
2006_Bay_#29-Row_#325-Cane_#4,2006,S,9,407433.622,807482.886,325,29,4,4c,11.32790444,3.900804444,162.3020667,9.662143333,3.1775,3.1775
2006_Bay_#43-Row_#325-Cane_#4,2006,L,10,407469.104,807388.537,325,43,4,4c,10.85151778,4.559338889,193.9866667,10.58490556,4.2275,4.2275
2006_Bay_#47-Row_#325-Cane_#4,2006,M,11,407479.241,807361.58,325,47,4,4c,10.89806444,3.685737778,180.3130778,10.10847111,4.425,4.425
2006_Bay_#59-Row_#325-Cane_#4,2006,XL,12,407509.654,807280.71,325,59,4,4c,10.56461778,5.370178889,208.7781556,11.0842,3.905,3.905
2006_Bay_#5-Row_#327-Cane_#2,2006,L,13,407367.668,807642.937,327,5,2,2c,10.95466778,3.702851111,182.8035889,9.27165,2.54,2.54
2006_Bay_#18-Row_#327-Cane_#2,2006,M,14,407400.615,807555.327,327,18,2,2c,10.91152778,4.856685556,177.0582444,9.753314444,3.945,3.945
2006_Bay_#27-Row_#327-Cane_#2,2006,XS,15,407423.425,807494.674,327,27,2,2c,11.38827222,4.015877778,158.0728667,8.782137778,2.93,2.93
2006_Bay_#30-Row_#327-Cane_#2,2006,M,16,407431.028,807474.457,327,30,2,2c,11.23828444,4.108755556,169.2216111,9.997136667,3.735,3.735
2006_Bay_#33-Row_#327-Cane_#2,2006,S,17,407438.631,807454.239,327,33,2,2c,11.17656222,3.85091,160.7953889,9.73157,2.4,2.4
2006_Bay_#60-Row_#327-Cane_#2,2006,XL,18,407507.06,807272.281,327,60,2,2c,10.65773556,5.720598889,212.0677,10.92501889,3.77,3.77
2006_Bay_#26-Row_#329-Cane_#4,2006,XS,19,407415.762,807499.724,329,26,4,4c,11.25133778,4.155674444,163.4179,9.328693333,4.915,4.915
2006_Bay_#36-Row_#329-Cane_#4,2006,S,20,407441.106,807432.332,329,36,4,4c,11.11964778,3.228315556,171.7291667,9.74831,3.175,3.175
2006_Bay_#45-Row_#329-Cane_#4,2006,L,21,407463.916,807371.679,329,45,4,4c,10.90746556,4.012996667,192.5335222,10.36841444,3.215,3.215
2006_Bay_#54-Row_#329-Cane_#4,2006,M,22,407486.726,807311.026,329,54,4,4c,10.55179556,4.161784444,184.3669333,10.42702111,4.515,4.515
2006_Bay_#56-Row_#329-Cane_#4,2006,M,23,407491.794,807297.548,329,56,4,4c,10.87876111,4.114557778,179.8802556,9.931131111,4.8525,4.8525
2006_Bay_#61-Row_#329-Cane_#4,2006,XL,24,407504.466,807263.852,329,61,4,4c,10.73544,6.044474444,215.118,10.50757,3.245,3.245
2006_Bay_#10-Row_#358-Cane_#4,2006,S,25,407316.791,807582.531,358,10,4,4c,11.49137889,3.991817778,174.9163,8.470925556,3.9975,3.9975
2006_Bay_#28-Row_#358-Cane_#4,2006,L,26,407362.41,807461.225,358,28,4,4c,10.97284,5.369713333,199.6892889,11.04861778,4.2675,4.2675
2006_Bay_#33-Row_#358-Cane_#4,2006,XS,27,407375.082,807427.529,358,33,4,4c,11.71442333,5.096473333,164.3109889,8.425643333,4.9725,4.9725
2006_Bay_#41-Row_#358-Cane_#4,2006,M,28,407395.358,807373.616,358,41,4,4c,11.28458,5.42111,192.4449778,10.35909556,4.885,4.885
2006_Bay_#48-Row_#358-Cane_#4,2006,M,29,407413.098,807326.441,358,48,4,4c,11.07260667,5.130647778,186.9564111,10.31544444,4.675,4.675
2006_Bay_#63-Row_#358-Cane_#4,2006,XL,30,407451.114,807225.353,358,63,4,4c,10.98450111,6.685854444,207.5531778,11.00488889,3.92,3.92
2006_Bay_#11-Row_#360-Cane_#2,2006,XS,31,407314.197,807574.102,360,11,2,2c,11.48207111,4.027547778,173.8174556,8.80982,3.2625,3.2625
2006_Bay_#12-Row_#360-Cane_#2,2006,S,32,407316.732,807567.363,360,12,2,2c,11.33224778,4.235138889,176.1629778,9.513602222,2.8575,2.8575
2006_Bay_#15-Row_#360-Cane_#2,2006,M,33,407324.335,807547.145,360,15,2,2c,11.35772222,4.948172222,186.9400333,9.929994444,2.92,2.92
2006_Bay_#35-Row_#360-Cane_#2,2006,M,34,407375.023,807412.361,360,35,2,2c,11.26890556,4.535205556,179.7558667,10.20847,3.8225,3.8225
2006_Bay_#40-Row_#360-Cane_#2,2006,L,35,407387.695,807378.665,360,40,2,2c,11.28744889,5.429003333,199.1815444,10.49582889,3.165,3.165
2006_Bay_#58-Row_#360-Cane_#2,2006,XL,36,407433.314,807257.36,360,58,2,2c,11.03298889,6.050672222,213.8365778,11.29625667,3.425,3.425
2006_Bay_#3-Row_#362-Cane_#4,2006,L,37,407288.794,807626.326,362,3,4,4c,10.65796222,5.93836,207.1533222,9.988398889,5.21,5.21
2006_Bay_#8-Row_#362-Cane_#4,2006,XS,38,407301.466,807592.63,362,8,4,4c,11.24040778,4.937755556,177.3178222,8.809778889,4.555,4.555
2006_Bay_#9-Row_#362-Cane_#4,2006,S,39,407304,807585.891,362,9,4,4c,11.32657667,4.348528889,176.9067556,9.239231111,4.2425,4.2425
2006_Bay_#20-Row_#362-Cane_#4,2006,M,40,407331.879,807511.76,362,20,4,4c,11.38448111,4.960843333,194.1351444,10.42330889,5.46,5.46
2006_Bay_#55-Row_#362-Cane_#4,2006,M,41,407420.583,807275.888,362,55,4,4c,10.81970222,5.960001111,194.2701111,11.46268222,5.0575,5.0575
2006_Bay_#63-Row_#362-Cane_#4,2006,XL,42,407440.858,807221.974,362,63,4,4c,11.13679667,6.991841111,214.0258333,11.2105,5.0475,5.0475
2006_Bay_#10-Row_#364-Cane_#2,2006,S,43,407301.407,807577.462,364,10,2,2c,11.32642222,4.317958889,183.1812,9.413094444,2.95,2.95
2006_Bay_#19-Row_#364-Cane_#2,2006,L,44,407324.216,807516.809,364,19,2,2c,11.40376333,4.959066667,202.2355222,10.87034889,2.6,2.6
2006_Bay_#22-Row_#364-Cane_#2,2006,M,45,407331.819,807496.592,364,22,2,2c,11.08857333,5.125656667,201.5891333,10.81099,2.8625,2.8625
2006_Bay_#27-Row_#364-Cane_#2,2006,XL,46,407344.491,807462.896,364,27,2,2c,10.88781444,6.079512222,213.9409667,11.33921222,1.805,1.805
2006_Bay_#33-Row_#364-Cane_#2,2006,XS,47,407359.698,807422.461,364,33,2,2c,11.57014444,5.348454444,165.4256222,9.699515556,3.3675,3.3675
2006_Bay_#53-Row_#364-Cane_#2,2006,M,48,407410.386,807287.677,364,53,2,2c,11.12313111,5.604908889,196.2622778,11.21067667,3.65,3.65
2007_Bay_#2-Row_#323-Cane_#2,2007,M,1,407370.392,807666.346,323,2,2,2c,10.97135,3.911578889,178.6224556,7.93782,3.675,3.675
2007_Bay_#15-Row_#323-Cane_#2,2007,M,2,407403.339,807578.737,323,15,2,2c,10.94357444,3.855947778,189.7771,10.37287667,3.45,3.45
2007_Bay_#26-Row_#323-Cane_#2,2007,XS,3,407431.217,807504.606,323,26,2,2c,11.19804111,4.059778889,163.2115444,8.840817778,2.4225,2.4225
2007_Bay_#31-Row_#323-Cane_#2,2007,S,4,407443.889,807470.91,323,31,2,2c,11.01622,4.205651111,164.4851111,9.25243,2.8625,2.8625
2007_Bay_#40-Row_#323-Cane_#2,2007,L,5,407466.699,807410.257,323,40,2,2c,10.51706889,4.564212222,193.8663333,10.67583333,2.4825,2.4825
2007_Bay_#59-Row_#323-Cane_#2,2007,XL,6,407514.853,807282.212,323,59,2,2c,10.58453778,5.514371111,209.2560222,10.96109778,3.2025,3.2025
2007_Bay_#5-Row_#325-Cane_#4,2007,M,7,407372.796,807644.626,325,5,4,4c,10.83859889,3.724567778,183.6738778,9.411745556,5.5375,5.5375
2007_Bay_#26-Row_#325-Cane_#4,2007,XS,8,407426.019,807503.103,325,26,4,4c,11.11856111,4.05801,163.1403444,8.67221,6.5025,6.5025
2007_Bay_#29-Row_#325-Cane_#4,2007,S,9,407433.622,807482.886,325,29,4,4c,11.32790444,3.900804444,162.3020667,9.662143333,4.715,4.715
2007_Bay_#43-Row_#325-Cane_#4,2007,L,10,407469.104,807388.537,325,43,4,4c,10.85151778,4.559338889,193.9866667,10.58490556,4.0625,4.0625
2007_Bay_#47-Row_#325-Cane_#4,2007,M,11,407479.241,807361.58,325,47,4,4c,10.89806444,3.685737778,180.3130778,10.10847111,5.25,5.25
2007_Bay_#59-Row_#325-Cane_#4,2007,XL,12,407509.654,807280.71,325,59,4,4c,10.56461778,5.370178889,208.7781556,11.0842,4.8075,4.8075
2007_Bay_#5-Row_#327-Cane_#2,2007,L,13,407367.668,807642.937,327,5,2,2c,10.95466778,3.702851111,182.8035889,9.27165,4.115,4.115
2007_Bay_#18-Row_#327-Cane_#2,2007,M,14,407400.615,807555.327,327,18,2,2c,10.91152778,4.856685556,177.0582444,9.753314444,4.885,4.885
2007_Bay_#27-Row_#327-Cane_#2,2007,XS,15,407423.425,807494.674,327,27,2,2c,11.38827222,4.015877778,158.0728667,8.782137778,3.315,3.315
2007_Bay_#30-Row_#327-Cane_#2,2007,M,16,407431.028,807474.457,327,30,2,2c,11.23828444,4.108755556,169.2216111,9.997136667,3.075,3.075
2007_Bay_#33-Row_#327-Cane_#2,2007,S,17,407438.631,807454.239,327,33,2,2c,11.17656222,3.85091,160.7953889,9.73157,3.5525,3.5525
2007_Bay_#60-Row_#327-Cane_#2,2007,XL,18,407507.06,807272.281,327,60,2,2c,10.65773556,5.720598889,212.0677,10.92501889,3.77,3.77
2007_Bay_#26-Row_#329-Cane_#4,2007,XS,19,407415.762,807499.724,329,26,4,4c,11.25133778,4.155674444,163.4179,9.328693333,5.07,5.07
2007_Bay_#36-Row_#329-Cane_#4,2007,S,20,407441.106,807432.332,329,36,4,4c,11.11964778,3.228315556,171.7291667,9.74831,5.905,5.905
2007_Bay_#45-Row_#329-Cane_#4,2007,L,21,407463.916,807371.679,329,45,4,4c,10.90746556,4.012996667,192.5335222,10.36841444,5.8625,5.8625
2007_Bay_#54-Row_#329-Cane_#4,2007,M,22,407486.726,807311.026,329,54,4,4c,10.55179556,4.161784444,184.3669333,10.42702111,7.8325,7.8325
2007_Bay_#56-Row_#329-Cane_#4,2007,M,23,407491.794,807297.548,329,56,4,4c,10.87876111,4.114557778,179.8802556,9.931131111,6.45,6.45
2007_Bay_#61-Row_#329-Cane_#4,2007,XL,24,407504.466,807263.852,329,61,4,4c,10.73544,6.044474444,215.118,10.50757,4.8525,4.8525
2007_Bay_#10-Row_#358-Cane_#4,2007,S,25,407316.791,807582.531,358,10,4,4c,11.49137889,3.991817778,174.9163,8.470925556,5.5775,5.5775
2007_Bay_#28-Row_#358-Cane_#4,2007,L,26,407362.41,807461.225,358,28,4,4c,10.97284,5.369713333,199.6892889,11.04861778,5.65,5.65
2007_Bay_#33-Row_#358-Cane_#4,2007,XS,27,407375.082,807427.529,358,33,4,4c,11.71442333,5.096473333,164.3109889,8.425643333,3.77,3.77
2007_Bay_#41-Row_#358-Cane_#4,2007,M,28,407395.358,807373.616,358,41,4,4c,11.28458,5.42111,192.4449778,10.35909556,3.7375,3.7375
2007_Bay_#48-Row_#358-Cane_#4,2007,M,29,407413.098,807326.441,358,48,4,4c,11.07260667,5.130647778,186.9564111,10.31544444,4.94,4.94
2007_Bay_#63-Row_#358-Cane_#4,2007,XL,30,407451.114,807225.353,358,63,4,4c,10.98450111,6.685854444,207.5531778,11.00488889,4.3125,4.3125
2007_Bay_#11-Row_#360-Cane_#2,2007,XS,31,407314.197,807574.102,360,11,2,2c,11.48207111,4.027547778,173.8174556,8.80982,4.26,4.26
2007_Bay_#12-Row_#360-Cane_#2,2007,S,32,407316.732,807567.363,360,12,2,2c,11.33224778,4.235138889,176.1629778,9.513602222,3.95,3.95
2007_Bay_#15-Row_#360-Cane_#2,2007,M,33,407324.335,807547.145,360,15,2,2c,11.35772222,4.948172222,186.9400333,9.929994444,4.4775,4.4775
2007_Bay_#35-Row_#360-Cane_#2,2007,M,34,407375.023,807412.361,360,35,2,2c,11.26890556,4.535205556,179.7558667,10.20847,3.5875,3.5875
2007_Bay_#40-Row_#360-Cane_#2,2007,L,35,407387.695,807378.665,360,40,2,2c,11.28744889,5.429003333,199.1815444,10.49582889,2.75,2.75
2007_Bay_#58-Row_#360-Cane_#2,2007,XL,36,407433.314,807257.36,360,58,2,2c,11.03298889,6.050672222,213.8365778,11.29625667,3.425,3.425
2007_Bay_#3-Row_#362-Cane_#4,2007,L,37,407288.794,807626.326,362,3,4,4c,10.65796222,5.93836,207.1533222,9.988398889,5.2425,5.2425
2007_Bay_#8-Row_#362-Cane_#4,2007,XS,38,407301.466,807592.63,362,8,4,4c,11.24040778,4.937755556,177.3178222,8.809778889,6.8075,6.8075
2007_Bay_#9-Row_#362-Cane_#4,2007,S,39,407304,807585.891,362,9,4,4c,11.32657667,4.348528889,176.9067556,9.239231111,6.67,6.67
2007_Bay_#20-Row_#362-Cane_#4,2007,M,40,407331.879,807511.76,362,20,4,4c,11.38448111,4.960843333,194.1351444,10.42330889,6.05,6.05
2007_Bay_#55-Row_#362-Cane_#4,2007,M,41,407420.583,807275.888,362,55,4,4c,10.81970222,5.960001111,194.2701111,11.46268222,5.3875,5.3875
2007_Bay_#63-Row_#362-Cane_#4,2007,XL,42,407440.858,807221.974,362,63,4,4c,11.13679667,6.991841111,214.0258333,11.2105,3.885,3.885
2007_Bay_#10-Row_#364-Cane_#2,2007,S,43,407301.407,807577.462,364,10,2,2c,11.32642222,4.317958889,183.1812,9.413094444,4.7575,4.7575
2007_Bay_#19-Row_#364-Cane_#2,2007,L,44,407324.216,807516.809,364,19,2,2c,11.40376333,4.959066667,202.2355222,10.87034889,2.945,2.945
2007_Bay_#22-Row_#364-Cane_#2,2007,M,45,407331.819,807496.592,364,22,2,2c,11.08857333,5.125656667,201.5891333,10.81099,3.355,3.355
2007_Bay_#27-Row_#364-Cane_#2,2007,XL,46,407344.491,807462.896,364,27,2,2c,10.88781444,6.079512222,213.9409667,11.33921222,1.805,1.805
2007_Bay_#33-Row_#364-Cane_#2,2007,XS,47,407359.698,807422.461,364,33,2,2c,11.57014444,5.348454444,165.4256222,9.699515556,3.6525,3.6525
2007_Bay_#53-Row_#364-Cane_#2,2007,M,48,407410.386,807287.677,364,53,2,2c,11.12313111,5.604908889,196.2622778,11.21067667,3.345,3.345
2008_Bay_#2-Row_#323-Cane_#2,2008,M,1,407370.392,807666.346,323,2,2,2c,10.97135,3.911578889,178.6224556,7.93782,4.5775,4.5775
2008_Bay_#15-Row_#323-Cane_#2,2008,M,2,407403.339,807578.737,323,15,2,2c,10.94357444,3.855947778,189.7771,10.37287667,5.01,5.01
2008_Bay_#26-Row_#323-Cane_#2,2008,XS,3,407431.217,807504.606,323,26,2,2c,11.19804111,4.059778889,163.2115444,8.840817778,3.28,3.28
2008_Bay_#31-Row_#323-Cane_#2,2008,S,4,407443.889,807470.91,323,31,2,2c,11.01622,4.205651111,164.4851111,9.25243,4.7025,4.7025
2008_Bay_#40-Row_#323-Cane_#2,2008,L,5,407466.699,807410.257,323,40,2,2c,10.51706889,4.564212222,193.8663333,10.67583333,3.9375,3.9375
2008_Bay_#59-Row_#323-Cane_#2,2008,XL,6,407514.853,807282.212,323,59,2,2c,10.58453778,5.514371111,209.2560222,10.96109778,5.07,5.07
2008_Bay_#5-Row_#325-Cane_#4,2008,M,7,407372.796,807644.626,325,5,4,4c,10.83859889,3.724567778,183.6738778,9.411745556,7.41,7.41
2008_Bay_#26-Row_#325-Cane_#4,2008,XS,8,407426.019,807503.103,325,26,4,4c,11.11856111,4.05801,163.1403444,8.67221,6.295,6.295
2008_Bay_#29-Row_#325-Cane_#4,2008,S,9,407433.622,807482.886,325,29,4,4c,11.32790444,3.900804444,162.3020667,9.662143333,7.225,7.225
2008_Bay_#43-Row_#325-Cane_#4,2008,L,10,407469.104,807388.537,325,43,4,4c,10.85151778,4.559338889,193.9866667,10.58490556,7.105,7.105
2008_Bay_#47-Row_#325-Cane_#4,2008,M,11,407479.241,807361.58,325,47,4,4c,10.89806444,3.685737778,180.3130778,10.10847111,6.3475,6.3475
2008_Bay_#59-Row_#325-Cane_#4,2008,XL,12,407509.654,807280.71,325,59,4,4c,10.56461778,5.370178889,208.7781556,11.0842,6.8575,6.8575
2008_Bay_#5-Row_#327-Cane_#2,2008,L,13,407367.668,807642.937,327,5,2,2c,10.95466778,3.702851111,182.8035889,9.27165,4.465,4.465
2008_Bay_#18-Row_#327-Cane_#2,2008,M,14,407400.615,807555.327,327,18,2,2c,10.91152778,4.856685556,177.0582444,9.753314444,5.795,5.795
2008_Bay_#27-Row_#327-Cane_#2,2008,XS,15,407423.425,807494.674,327,27,2,2c,11.38827222,4.015877778,158.0728667,8.782137778,3.1825,3.1825
2008_Bay_#30-Row_#327-Cane_#2,2008,M,16,407431.028,807474.457,327,30,2,2c,11.23828444,4.108755556,169.2216111,9.997136667,3.365,3.365
2008_Bay_#33-Row_#327-Cane_#2,2008,S,17,407438.631,807454.239,327,33,2,2c,11.17656222,3.85091,160.7953889,9.73157,4.03,4.03
2008_Bay_#60-Row_#327-Cane_#2,2008,XL,18,407507.06,807272.281,327,60,2,2c,10.65773556,5.720598889,212.0677,10.92501889,4.9825,4.9825
2008_Bay_#26-Row_#329-Cane_#4,2008,XS,19,407415.762,807499.724,329,26,4,4c,11.25133778,4.155674444,163.4179,9.328693333,7.96,7.96
2008_Bay_#36-Row_#329-Cane_#4,2008,S,20,407441.106,807432.332,329,36,4,4c,11.11964778,3.228315556,171.7291667,9.74831,7.0225,7.0225
2008_Bay_#45-Row_#329-Cane_#4,2008,L,21,407463.916,807371.679,329,45,4,4c,10.90746556,4.012996667,192.5335222,10.36841444,6.9025,6.9025
2008_Bay_#54-Row_#329-Cane_#4,2008,M,22,407486.726,807311.026,329,54,4,4c,10.55179556,4.161784444,184.3669333,10.42702111,8.2575,8.2575
2008_Bay_#56-Row_#329-Cane_#4,2008,M,23,407491.794,807297.548,329,56,4,4c,10.87876111,4.114557778,179.8802556,9.931131111,6.255,6.255
2008_Bay_#61-Row_#329-Cane_#4,2008,XL,24,407504.466,807263.852,329,61,4,4c,10.73544,6.044474444,215.118,10.50757,5.98,5.98
